"id","z1","z2"
1,-1.731028807,-0.263623
2,-2.793920458,0.827413
3,-0.990306177,-0.540498
4,1.044248975,-0.190917
5,1.969194638,-0.708233
6,1.011816438,-0.037449
7,-0.914978522,-4.108082
8,0.895621656,1.102656
9,3.573148904,-1.003829
10,-2.662588296,0.070082
11,-3.23108053,-1.399973
12,1.026269254,1.742831
13,-4.204715171,-0.961367
14,-0.449005616,-1.853492
15,-2.570402355,-0.364792
16,1.944932986,-0.549736
17,-0.326924526,-3.179825
18,-0.697184772,-6.723342
19,-1.379642135,-0.462719
20,1.121153995,0.351149
21,-1.052929199,2.710507
22,-4.415174131,-2.024251
23,3.568529962,1.214161
24,-0.188307669,-0.270462
25,-0.123694444,-1.933953
26,-0.87599613,0.129049
27,1.711387119,-0.745486
28,-0.725391979,0.953295
29,-1.650696526,-1.44545
30,0.797381372,-0.675038
31,-2.307596155,-0.060472
32,-2.053171876,-3.793938
33,0.689280534,0.262027
34,-2.397979152,-1.892911
35,0.314924972,2.125718
36,-1.686928684,-4.024654
37,0.982597672,-0.475236
38,3.52180946,0.257126
39,-0.319454108,1.485045
40,5.326115695,-0.381513
41,-1.096744383,-1.804805
42,-3.570602148,-0.902173
43,-4.170748712,-1.163069
44,-1.156589063,-1.402739
45,-1.191087693,-3.00285
46,4.120211949,0.78214
47,5.887434558,0.70545
48,-1.432944342,-0.564845
49,-1.12007281,-2.019661
50,-0.112831784,-4.255352
51,-3.494999831,0.011333
52,0.431164294,-1.364205
53,0.546368925,0.23669
54,-2.86469143,-2.959736
55,-0.006207952,-1.157701
56,-2.592780817,-0.775042
57,1.120916493,-2.345079
58,0.831810289,-1.416661
59,-0.833945771,-1.866083
60,0.912149394,-1.374134
61,-0.851485105,-0.823605
62,-2.690206686,0.922374
63,0.335013414,1.589416
64,-1.000580522,-1.303974
65,-1.42747329,0.77794
66,0.97628428,-2.011349
67,1.556120502,-0.976587
68,-0.36027352,0.959746
69,-3.513133243,-2.091019
