id_train,x,y,z
58042,0.82681,0.41062,-2.766258971
40275,0.699931,0.761852,0.621059855
942,0.229267,0.775051,-3.753866886
73045,0.866987,0.82211,0.553839839
52480,0.136812,0.374609,4.600279527
40154,0.551659,0.461173,-3.916225455
54212,0.054047,0.223072,-1.231795153
87546,0.061753,0.448402,5.686799578
25050,0.121828,0.083223,1.279446983
85177,0.005737,0.293782,-0.249714358
83,0.836484,0.545144,-0.171518153
83657,0.54992,0.382101,-2.233654268
77848,0.83154,0.973068,0.885577312
67129,0.184497,0.427024,0.141218732
526,0.609506,0.546883,-3.222914804
11231,0.40798,0.244862,-1.32690132
29775,0.888548,0.265537,-2.831791205
40280,0.477714,0.951293,0.359656856
9941,0.025971,0.884276,-1.265871137
47590,0.138354,0.958373,-4.148164293
68567,0.262928,0.938949,-2.259109761
85330,0.556954,0.093568,-0.965563053
24763,0.034257,0.43389,2.58162953
28965,0.711482,0.883604,0.494080927
2051,0.918578,0.069841,-1.66819728
31767,0.014023,0.272541,-1.385752906
1186,0.015412,0.405631,0.024185026
25658,0.465156,0.137285,4.346806042
33493,0.185412,0.378149,3.68887601
30031,0.401129,0.531426,-1.945110416
7396,0.188327,0.006744,0.688741331
73426,0.737484,0.098741,1.713120768
78676,0.126848,0.857527,-3.471133883
45368,0.862211,0.724392,1.21133025
83468,0.836347,0.401984,-2.732900947
26988,0.979004,0.754604,0.380135961
44955,0.576699,0.891951,-0.43323541
50550,0.268513,0.360586,-0.461967539
30670,0.270436,0.236118,5.847364479
20523,0.732967,0.072938,2.089348641
73180,0.463294,0.549401,-1.439809218
79346,0.737316,0.463218,-2.956036882
9910,0.705043,0.13724,3.135510574
70153,0.51899,0.315816,0.754259927
48120,0.968795,0.362158,-1.585329837
6015,0.708919,0.368475,-4.22085704
25228,0.338354,0.442542,1.107442187
21421,0.556878,0.378119,-2.289969662
4687,0.356054,0.490898,0.624799589
8561,0.102922,0.745983,1.02268826
23614,0.154223,0.720821,-0.177625329
16702,0.571588,0.931441,-0.181695516
1644,0.509453,0.694987,-2.391300596
18872,0.214023,0.806256,-4.058604498
62534,0.712154,0.232395,-1.543025433
60316,0.852918,0.476921,-0.909087307
963,0.071031,0.6094,1.625191572
5275,0.901061,0.148959,-1.209604882
78446,0.834958,0.036393,0.377985449
6937,0.485283,0.650385,-1.216395889
52004,0.30634,0.135103,1.745120199
44750,0.219776,0.145663,4.580565842
16430,0.285679,0.395193,-1.108779024
45820,0.18471,0.068177,-2.70774472
6396,0.224781,0.986389,-2.192880688
19884,0.400992,0.194202,1.795421667
88505,0.382193,0.183886,3.910717738
11093,0.280247,0.619883,1.978870023
36533,0.933181,0.686778,1.214641046
57982,0.822141,0.32752,-3.942689889
69799,0.534508,0.479973,-3.725940747
84932,0.078416,0.034302,-1.376338686
48270,0.425376,0.066773,4.943589472
31764,0.716533,0.654322,0.582976244
1145,0.814588,0.841184,0.247712709
84585,0.882338,0.412314,-1.573940434
79293,0.942107,0.251682,-2.988224808
78643,0.76907,0.886046,0.274830045
57352,0.47599,0.581735,-0.780456136
56102,0.278904,0.674266,-0.70615175
54665,0.084398,0.500237,3.144116922
82255,0.365103,0.74165,-4.176174043
4282,0.216861,0.237232,1.517691397
11060,0.426322,0.970413,-0.406855686
60507,0.415381,0.257862,-1.383757851
53141,0.685679,0.061448,2.880177777
3319,0.468101,0.957565,0.556393009
38782,0.687098,0.155718,3.814767508
18169,0.944625,0.844999,0.335000576
87432,0.556802,0.869306,-0.822986148
9671,0.560754,0.227497,1.241046754
6847,0.776608,0.844129,0.278457985
10082,0.654994,0.168002,3.162166894
64386,0.177249,0.804074,-3.439184888
55522,0.093721,0.691676,2.047312002
17187,0.183352,0.26247,0.589960624
85700,0.206973,0.13434,4.528232889
39115,0.087526,0.604532,1.060308157
87913,0.793744,0.083391,-0.003369718
67799,0.35787,0.635172,-3.440677742
29809,0.295521,0.026535,3.230088741
49606,0.777203,0.841047,0.318453308
86973,0.193423,0.977432,-3.394812789
48771,0.728038,0.657435,0.274087033
33334,0.995056,0.267781,-2.333672846
368,0.475319,0.079667,7.246597278
5229,0.352636,0.175433,5.38495668
44633,0.626307,0.25095,0.066667048
81304,0.380438,0.771527,-3.916682904
14959,0.524361,0.442527,-2.96061034
4241,0.92639,0.305104,-2.609682688
878,0.56582,0.247776,1.102966543
44083,0.976043,0.603586,0.714728825
6908,0.45568,0.327047,1.354710361
76875,0.793637,0.449165,-2.715066953
53043,0.475517,0.641047,-0.908675802
64483,0.285771,0.483909,1.922240787
65205,0.80856,0.076905,-0.132461283
17220,0.799771,0.289387,-4.390478963
8396,0.917235,0.681971,1.840063377
30863,0.736675,0.893446,0.412417996
52721,0.415259,0.989899,-0.332265095
32537,0.008377,0.292546,0.055678211
27116,0.754726,0.553002,-1.39810574
18413,0.639216,0.669276,-0.554064081
84989,0.005661,0.155795,-1.783334277
14658,0.200412,0.180499,2.494142358
73174,0.025864,0.862715,-0.477085802
66674,0.86688,0.198093,-2.698118512
21831,0.105776,0.808652,-1.58883733
72414,0.540185,0.547631,-3.748897085
29789,0.967071,0.470573,-0.3909137
31429,0.182147,0.512367,-1.04076558
27454,0.745647,0.357183,-4.317549581
50268,0.486152,0.292256,1.706872576
68377,0.607248,0.957443,0.353792224
41946,0.689845,0.085679,3.989150538
13366,0.79855,0.374044,-3.803325047
20117,0.411612,0.085832,5.126993776
50436,0.261494,0.242542,5.821387852
40548,0.216724,0.938949,-3.298009692
33228,0.605295,0.103258,-0.154818266
88023,0.020493,0.262593,-1.821367235
52127,0.463264,0.726711,-2.233970887
43547,0.705684,0.199557,0.117027365
24045,0.095171,0.6271,1.118733789
58470,0.619715,0.284245,-1.270035311
46281,0.611566,0.925292,0.045055347
87228,0.880964,0.894835,0.90741741
60688,0.285435,0.242496,5.749212172
8742,0.91252,0.136263,-1.635056026
7391,0.325689,0.192096,5.491266211
42998,0.141024,0.241672,1.651810469
82477,0.307332,0.329488,-0.740757886
